name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date
Sarah Reese,sarah.reese@gmail.com,2023-12-12,1,YCI, CTO,1,1,4,0,1,2022-10-28
John Walker,john.walker@gmail.com,2019-07-31,1,Baxter, CTO,1,1,3,0,1,2013-03-22
Rebecca Walker,rebecca.walker@gmail.com,2007-05-17,0,None,None,1,1,1,100,2,2021-05-03
Monica Soto,monica.soto@gmail.com,2013-01-24,1,CBN,Employee,1,1,3,0,2,2020-04-27
Jordan Braun,jordan.braun@gmail.com,2011-11-12,1,Vodafone, CTO,1,1,3,0,2,2022-05-05
Angela Acosta,angela.acosta@gmail.com,2021-03-10,1,Baxter,CEO,0,1,3,0,2,2013-01-06
Douglas Beasley,douglas.beasley@gmail.com,2023-10-03,0,None,None,0,0,1,15,2,2008-10-27
Justin Jones,justin.jones@gmail.com,2008-12-10,0,None,None,0,0,1,1,1,2020-05-16
Timothy Harris,timothy.harris@gmail.com,2019-06-06,0,None,None,1,1,1,5,2,2022-02-11
Monica Duarte,monica.duarte@gmail.com,2020-07-17,1,YCI,CEO,0,1,1,1414,1,2010-12-02
Sandra Garcia,sandra.garcia@gmail.com,2012-12-05,1,YCI, CTO,1,1,4,0,1,2017-11-06
Veronica Scott,veronica.scott@gmail.com,2014-11-09,0,None,None,0,0,1,50,3,2010-09-21
Charles Phillips,charles.phillips@gmail.com,2021-09-02,1,Vodafone, CTO,0,1,2,0,3,2018-10-09
Kenneth Webb MD,kenneth webb md.@gmail.com,2020-10-18,1,Cromax,CEO,1,1,3,0,3,2012-04-11
Gavin Schroeder,gavin.schroeder@gmail.com,2024-01-15,0,None,None,1,1,1,50,2,2023-12-06
Jason Davis,jason.davis@gmail.com,2007-09-21,0,None,None,0,0,1,20,3,2007-05-12
Heather Evans,heather.evans@gmail.com,2011-09-17,0,None,None,0,0,1,35,3,2021-04-10
Paul Hughes,paul.hughes@gmail.com,2015-10-18,0,None,None,1,1,1,90,3,2010-11-12
Carrie Cruz,carrie.cruz@gmail.com,2019-12-21,0,None,None,1,1,1,90,1,2013-03-14
Aaron Perez,aaron.perez@gmail.com,2018-08-20,0,None,None,1,1,1,10,2,2016-01-24
Alex Bailey,alex.bailey@gmail.com,2020-11-28,1,Vodafone,Employee,1,1,2,0,2,2014-12-16
Nathan Owen,nathan.owen@gmail.com,2022-07-01,0,None,None,0,0,1,5,3,2016-06-09
Sarah Flores,sarah.flores@gmail.com,2015-09-10,1,Nasscom, CTO,1,1,2,0,3,2010-05-07
Michele Watkins,michele.watkins@gmail.com,2007-12-14,0,None,None,1,1,1,70,1,2008-03-25
Adam Walker,adam.walker@gmail.com,2023-05-03,0,None,None,1,1,1,10,3,2009-12-12
Johnny Macias,johnny.macias@gmail.com,2016-11-26,0,None,None,0,0,1,5,1,2019-09-14
Michael Mitchell,michael.mitchell@gmail.com,2023-08-06,1,Hyatt, CTO,0,1,3,0,1,2016-01-09
Lisa Alexander,lisa.alexander@gmail.com,2015-09-01,0,None,None,0,0,1,10,2,2016-04-06
Theresa Pennington,theresa.pennington@gmail.com,2011-01-10,0,None,None,1,1,1,10,3,2010-05-07
Dana Jones,dana.jones@gmail.com,2019-01-09,0,None,None,1,1,1,20,1,2019-06-04
Stephanie Wilson,stephanie.wilson@gmail.com,2022-06-07,0,None,None,0,0,1,70,2,2011-08-31
Jessica Hurley,jessica.hurley@gmail.com,2016-07-18,1,The Oberoi, CTO,1,1,4,0,2,2008-10-09
Michelle Hines,michelle.hines@gmail.com,2022-03-13,0,None,None,0,0,1,90,1,2012-06-24
Molly Gonzalez,molly.gonzalez@gmail.com,2013-03-25,1,Vodafone,Employee,1,1,2,0,1,2012-01-12
Jason James,jason.james@gmail.com,2022-03-24,1,Jonhsons,Employee,1,1,3,0,1,2013-03-27
Matthew Ramirez,matthew.ramirez@gmail.com,2017-12-15,0,None,None,0,0,1,15,2,2008-02-08
Kevin Montgomery,kevin.montgomery@gmail.com,2012-10-16,1,Hyatt,CEO,1,1,2,0,2,2023-01-22
Wanda Lyons,wanda.lyons@gmail.com,2016-01-10,0,None,None,0,0,1,70,2,2016-08-06
Jennifer Mendoza,jennifer.mendoza@gmail.com,2016-10-17,1,Westin,Employee,1,1,4,0,2,2023-02-14
Jeremy Butler,jeremy.butler@gmail.com,2017-01-02,0,None,None,0,0,1,50,3,2011-01-07
Brittney White,brittney.white@gmail.com,2014-05-07,1,Hyatt,Employee,1,1,2,0,3,2008-07-31
Laura Ponce,laura.ponce@gmail.com,2011-11-07,0,None,None,1,1,1,90,1,2022-02-15
Daniel Thomas,daniel.thomas@gmail.com,2008-01-28,1,Baxter,Employee,0,1,1,861,2,2012-01-20
Cristian Davis,cristian.davis@gmail.com,2023-02-23,0,None,None,1,1,1,20,2,2020-01-13
Elizabeth Gilbert,elizabeth.gilbert@gmail.com,2013-08-29,0,None,None,1,1,1,15,2,2008-08-18
Terry Huff,terry.huff@gmail.com,2023-06-02,1,Vodafone, CTO,1,1,2,0,2,2017-12-29
Kevin Brown,kevin.brown@gmail.com,2011-07-07,0,None,None,1,1,1,15,2,2017-03-01
Ashley Green,ashley.green@gmail.com,2010-11-01,0,None,None,1,1,1,10,3,2007-02-15
Corey Rice,corey.rice@gmail.com,2015-05-05,0,None,None,1,1,1,100,3,2022-09-02
Mallory Scott,mallory.scott@gmail.com,2013-07-25,1,Cosco,Employee,1,1,2,0,3,2006-11-21
Sheri Mann,sheri.mann@gmail.com,2023-05-07,1,Indigo,CEO,0,1,1,1438,2,2018-04-20
Amanda Taylor,amanda.taylor@gmail.com,2009-08-15,1,Jonhsons,CEO,1,1,2,0,2,2010-08-05
Michael Powers,michael.powers@gmail.com,2021-10-14,0,None,None,1,1,1,100,2,2012-08-23
Susan Foster,susan.foster@gmail.com,2023-02-19,0,None,None,1,1,1,15,2,2011-04-26
Dr. Heather Williams MD,dr. heather williams md.@gmail.com,2022-04-18,1,Amazon,Employee,1,1,2,0,2,2018-10-27
Sherry Brown,sherry.brown@gmail.com,2018-04-08,0,None,None,1,1,1,20,1,2018-02-17
Susan Bishop,susan.bishop@gmail.com,2019-08-22,0,None,None,1,1,1,70,3,2020-06-28
Donna Sweeney,donna.sweeney@gmail.com,2012-03-20,0,None,None,0,0,1,15,1,2007-10-23
Kathy Roberts,kathy.roberts@gmail.com,2017-10-31,0,None,None,0,0,1,20,1,2022-01-11
Danielle Donaldson,danielle.donaldson@gmail.com,2021-04-02,0,None,None,1,1,1,35,1,2009-07-04
Steven Delgado,steven.delgado@gmail.com,2013-10-30,1,Westin,Employee,1,1,2,0,1,2021-07-04
Carla Thomas,carla.thomas@gmail.com,2015-01-07,1,Vodafone,CEO,1,1,3,0,1,2017-04-24
William Chavez,william.chavez@gmail.com,2010-09-30,1,Nasscom,CEO,1,1,2,0,1,2019-07-02
Jason Carson,jason.carson@gmail.com,2019-08-10,0,None,None,0,0,1,70,3,2009-09-14
Tina Velasquez,tina.velasquez@gmail.com,2016-08-28,0,None,None,0,0,1,15,2,2013-09-16
Matthew Freeman,matthew.freeman@gmail.com,2011-04-03,0,None,None,1,1,1,90,2,2017-05-15
Elizabeth Byrd,elizabeth.byrd@gmail.com,2023-03-23,1,Pepsi,Employee,0,1,3,0,2,2013-02-01
Megan Mitchell,megan.mitchell@gmail.com,2018-01-04,0,None,None,0,0,1,20,3,2012-04-04
Jeremy Mcneil,jeremy.mcneil@gmail.com,2011-12-03,1,Vodafone,Employee,1,1,4,0,3,2022-12-21
Brian Roberts,brian.roberts@gmail.com,2023-07-27,0,None,None,1,1,1,20,3,2012-08-18
Kristin Smith,kristin.smith@gmail.com,2014-11-09,0,None,None,1,1,1,100,3,2024-02-19
Michael Warren,michael.warren@gmail.com,2011-02-28,0,None,None,0,0,1,1,2,2011-05-27
Mark Jacobson,mark.jacobson@gmail.com,2018-12-24,1,Indigo, CTO,1,1,3,0,2,2024-03-15
Jennifer White,jennifer.white@gmail.com,2015-10-03,1,Hyatt,Employee,0,1,3,0,2,2009-09-20
Troy Smith,troy.smith@gmail.com,2020-07-13,0,None,None,1,1,1,15,1,2010-06-28
Erin Blevins,erin.blevins@gmail.com,2008-04-06,1,CaSa, CTO,0,1,3,0,1,2019-02-08
Christopher Wheeler,christopher.wheeler@gmail.com,2012-12-26,0,None,None,1,1,1,1,3,2023-09-20
Mariah Martin,mariah.martin@gmail.com,2016-07-13,1,CaSa,Employee,1,1,1,636,2,2011-05-09
Mathew Davis,mathew.davis@gmail.com,2013-11-22,1,YCI,Employee,1,1,4,0,2,2008-02-24
Jonathan Barker,jonathan.barker@gmail.com,2015-06-08,0,None,None,0,0,1,1,3,2018-06-15
Connie Duncan,connie.duncan@gmail.com,2017-02-24,0,None,None,0,0,1,15,3,2018-04-07
Mary Spencer MD,mary spencer md.@gmail.com,2021-08-08,1,CBN, CTO,0,1,3,0,3,2018-02-27
Michaela Miller,michaela.miller@gmail.com,2014-10-16,0,None,None,0,0,1,1,1,2011-09-19
Nathan Zamora,nathan.zamora@gmail.com,2008-01-28,1,YCI,Employee,0,1,2,0,1,2007-01-13
Christian Campbell,christian.campbell@gmail.com,2017-08-04,0,None,None,0,0,1,50,2,2022-12-24
Robert Collins,robert.collins@gmail.com,2021-04-12,0,None,None,1,1,1,10,1,2016-11-10
Shane Young,shane.young@gmail.com,2009-11-24,1,YCI,Employee,0,1,3,0,1,2022-05-12
Lauren Guerrero,lauren.guerrero@gmail.com,2024-03-27,0,None,None,0,0,1,5,2,2013-05-31
Stephanie Rivera,stephanie.rivera@gmail.com,2014-05-03,1,YCI,Employee,0,1,3,0,2,2013-01-01
Christopher Osborne,christopher.osborne@gmail.com,2010-03-02,0,None,None,0,0,1,90,2,2007-05-01
Kim Cortez,kim.cortez@gmail.com,2015-05-23,1,Nike, CTO,0,1,4,0,2,2015-07-05
Jacqueline Rodriguez,jacqueline.rodriguez@gmail.com,2020-02-22,1,Cosco, CTO,1,1,1,1161,2,2024-01-18
Wyatt Morris,wyatt.morris@gmail.com,2019-01-02,1,Vodafone,Employee,0,1,3,0,2,2012-06-27
Dylan Pineda,dylan.pineda@gmail.com,2020-07-14,0,None,None,0,0,1,5,2,2017-05-28
Linda Wilcox,linda.wilcox@gmail.com,2014-05-26,1,Amazon,CEO,0,1,2,0,2,2010-10-13
Kristen Hernandez,kristen.hernandez@gmail.com,2015-03-11,0,None,None,1,1,1,100,1,2010-01-31
Cole Mcintyre,cole.mcintyre@gmail.com,2011-08-14,0,None,None,0,0,1,10,2,2021-01-27
Sarah Watson,sarah.watson@gmail.com,2023-11-05,1,Pepsi,Employee,0,1,1,1234,1,2020-10-27
Christina Harvey,christina.harvey@gmail.com,2017-04-25,0,None,None,0,0,1,20,1,2024-01-03
Anne Williams,anne.williams@gmail.com,2017-09-15,0,None,None,1,1,1,10,2,2022-12-31
Mia Henson,mia.henson@gmail.com,2020-08-11,1,Nike,Employee,0,1,3,0,2,2019-04-16
Matthew Martinez,matthew.martinez@gmail.com,2012-02-07,1,Vodafone,CEO,0,1,3,0,2,2021-10-16
Jared Rivera,jared.rivera@gmail.com,2012-02-29,0,None,None,1,1,1,35,2,2019-05-02
Matthew Galvan,matthew.galvan@gmail.com,2020-07-30,1,Nike,Employee,1,1,1,385,3,2016-05-18
Charles Cannon,charles.cannon@gmail.com,2011-10-04,0,None,None,0,0,1,50,2,2015-06-13
Daniel Castillo,daniel.castillo@gmail.com,2015-12-12,1,CBN,CEO,0,1,4,0,2,2008-08-08
Hector Cooper,hector.cooper@gmail.com,2007-06-10,1,The Oberoi, CTO,0,1,4,0,2,2023-07-10
Mark Garcia,mark.garcia@gmail.com,2018-10-18,0,None,None,0,0,1,100,2,2019-01-17
Brandon Bailey,brandon.bailey@gmail.com,2015-04-04,1,Cromax,CEO,0,1,3,0,2,2021-06-19
Sandra Golden,sandra.golden@gmail.com,2019-08-20,1,The Oberoi,Employee,1,1,1,451,3,2007-12-29
Matthew Rodriguez,matthew.rodriguez@gmail.com,2019-04-18,0,None,None,0,0,1,1,3,2013-04-09
Teresa Huber,teresa.huber@gmail.com,2021-01-24,0,None,None,1,1,1,15,3,2010-06-01
Tyler Lee,tyler.lee@gmail.com,2015-01-24,1,Jonhsons, CTO,1,1,3,0,3,2013-10-31
Michael Kelley,michael.kelley@gmail.com,2019-03-03,1,Nasscom,CEO,0,1,4,0,3,2016-08-30
Mary Kim,mary.kim@gmail.com,2019-05-19,1,Nasscom, CTO,1,1,3,0,3,2023-08-04
Steven Cain,steven.cain@gmail.com,2010-10-03,1,The Oberoi, CTO,1,1,4,0,3,2017-02-11
Jacqueline Bennett,jacqueline.bennett@gmail.com,2019-02-09,0,None,None,0,0,1,70,2,2016-01-07
Deborah Williams,deborah.williams@gmail.com,2013-08-18,1,YCI,Employee,0,1,4,0,2,2011-06-22
Lynn Evans,lynn.evans@gmail.com,2015-11-01,0,None,None,0,0,1,20,2,2014-04-21
Miguel Brock,miguel.brock@gmail.com,2010-01-19,0,None,None,0,0,1,15,3,2022-03-24
Jessica Williams,jessica.williams@gmail.com,2009-08-17,0,None,None,0,0,1,20,3,2013-10-31
Ashlee Lewis,ashlee.lewis@gmail.com,2017-06-02,1,Hyatt,Employee,1,1,1,371,2,2012-03-25
Patrick Watson,patrick.watson@gmail.com,2012-12-29,1,Westin,CEO,0,1,2,0,2,2023-04-22
Matthew Chambers,matthew.chambers@gmail.com,2014-09-29,0,None,None,0,0,1,90,2,2013-09-28
Robert Wallace,robert.wallace@gmail.com,2022-12-02,1,Amazon,Employee,1,1,2,0,2,2017-10-12
Timothy Davis,timothy.davis@gmail.com,2022-06-02,0,None,None,0,0,1,100,2,2013-07-10
Ruben Walters,ruben.walters@gmail.com,2010-12-20,1,Pepsi, CTO,0,1,2,0,2,2021-06-16
Yolanda Gutierrez,yolanda.gutierrez@gmail.com,2013-09-05,1,CBN, CTO,1,1,1,1660,2,2020-05-10
Ryan Mclaughlin,ryan.mclaughlin@gmail.com,2016-05-01,1,Nike, CTO,1,1,1,967,2,2007-05-22
Katrina Johnson,katrina.johnson@gmail.com,2019-06-06,0,None,None,0,0,1,10,3,2008-09-10
Leonard Williams,leonard.williams@gmail.com,2014-11-07,0,None,None,1,1,1,10,1,2020-06-22
Wayne Rich,wayne.rich@gmail.com,2021-05-18,1,Cromax,Employee,0,1,4,0,1,2010-09-23
Manuel Henry,manuel.henry@gmail.com,2013-05-08,0,None,None,0,0,1,90,3,2014-09-20
Brian Vargas,brian.vargas@gmail.com,2017-01-11,1,Amazon,CEO,0,1,1,311,3,2016-07-26
James Mosley,james.mosley@gmail.com,2011-06-01,1,Hyatt, CTO,0,1,4,0,3,2010-02-07
Brandon Dougherty,brandon.dougherty@gmail.com,2010-04-21,0,None,None,0,0,1,100,2,2007-07-15
Justin Jones,justin.jones@gmail.com,2014-11-25,0,None,None,1,1,1,100,2,2008-07-15
Adam Ellison,adam.ellison@gmail.com,2009-06-15,0,None,None,0,0,1,70,3,2018-03-31
Charles Davis,charles.davis@gmail.com,2015-03-26,1,Amazon, CTO,0,1,2,0,3,2023-12-27
Stephen Wyatt,stephen.wyatt@gmail.com,2017-07-29,1,Cromax,Employee,0,1,1,445,2,2015-02-21
Vincent Sampson,vincent.sampson@gmail.com,2019-06-20,0,None,None,0,0,1,50,1,2022-06-26
Linda Gonzales,linda.gonzales@gmail.com,2022-01-24,1,Indigo,Employee,0,1,4,0,1,2016-08-23
Jacob Marquez,jacob.marquez@gmail.com,2009-10-25,1,Jonhsons, CTO,1,1,3,0,1,2006-12-25
Dominique Lewis,dominique.lewis@gmail.com,2019-10-01,1,Jonhsons,CEO,0,1,2,0,1,2006-11-24
Alicia Diaz,alicia.diaz@gmail.com,2009-09-03,0,None,None,1,1,1,1,1,2014-08-07
Amber Sanchez,amber.sanchez@gmail.com,2023-10-14,1,Pepsi,Employee,1,1,2,0,1,2008-10-16
Mark Aguilar,mark.aguilar@gmail.com,2014-07-26,1,CaSa,CEO,0,1,4,0,1,2014-02-17
Teresa Nguyen,teresa.nguyen@gmail.com,2012-12-17,0,None,None,1,1,1,5,3,2020-08-07
Tanya Moore,tanya.moore@gmail.com,2013-03-28,1,Nasscom,Employee,0,1,3,0,3,2013-08-14
David Murillo,david.murillo@gmail.com,2011-07-12,0,None,None,0,0,1,20,2,2019-04-21
Caleb Reynolds,caleb.reynolds@gmail.com,2020-06-11,0,None,None,0,0,1,90,3,2017-02-05
Brian Gonzalez,brian.gonzalez@gmail.com,2024-03-31,1,The Oberoi, CTO,0,1,4,0,3,2017-06-04
Bobby Chaney,bobby.chaney@gmail.com,2009-08-14,0,None,None,1,1,1,70,2,2012-04-01
Brittany Friedman,brittany.friedman@gmail.com,2015-03-22,1,Hyatt,CEO,1,1,2,0,2,2007-03-02
Angela Salazar,angela.salazar@gmail.com,2016-12-30,1,Nasscom, CTO,1,1,1,239,3,2018-03-20
Martin Browning,martin.browning@gmail.com,2008-04-17,1,Jonhsons,Employee,0,1,4,0,3,2023-09-27
Daniel Everett,daniel.everett@gmail.com,2019-06-05,0,None,None,1,1,1,20,3,2013-07-29
Douglas Wallace,douglas.wallace@gmail.com,2012-04-09,0,None,None,0,0,1,100,2,2016-08-25
Kenneth Christensen,kenneth.christensen@gmail.com,2012-05-23,1,Cromax,CEO,1,1,4,0,2,2022-09-02
Katherine Wilson,katherine.wilson@gmail.com,2022-10-05,1,CBN,CEO,0,1,4,0,2,2011-12-10
Anthony Glass,anthony.glass@gmail.com,2008-08-01,1,Westin,CEO,1,1,2,0,2,2012-04-18
Brian Mitchell,brian.mitchell@gmail.com,2007-08-15,1,Pepsi,CEO,0,1,3,0,2,2014-04-17
Dawn Thomas,dawn.thomas@gmail.com,2012-04-12,1,Westin,Employee,0,1,3,0,2,2011-01-05
Danny Strickland,danny.strickland@gmail.com,2020-02-06,1,Baxter, CTO,0,1,3,0,2,2013-12-30
Angela Olsen,angela.olsen@gmail.com,2015-05-26,1,Vodafone,CEO,1,1,4,0,2,2008-09-22
Judy Duke,judy.duke@gmail.com,2018-12-22,0,None,None,1,1,1,35,3,2013-05-14
Margaret Meadows,margaret.meadows@gmail.com,2021-02-19,0,None,None,1,1,1,100,3,2012-02-04
Dana Sims,dana.sims@gmail.com,2013-01-06,0,None,None,1,1,1,5,3,2011-11-05
Gregory Hendricks,gregory.hendricks@gmail.com,2023-12-21,0,None,None,0,0,1,90,3,2015-06-12
Lisa Evans,lisa.evans@gmail.com,2015-10-24,0,None,None,1,1,1,10,2,2010-11-16
Richard Kramer,richard.kramer@gmail.com,2023-08-15,0,None,None,0,0,1,20,3,2023-08-31
Claudia Gonzalez,claudia.gonzalez@gmail.com,2011-08-09,1,Hyatt,Employee,1,1,2,0,3,2019-12-28
Ralph Hunter,ralph.hunter@gmail.com,2011-09-23,1,YCI, CTO,1,1,2,0,3,2010-04-21
Mr. Sean Hanson,mr. sean hanson.@gmail.com,2022-08-15,1,Pepsi, CTO,1,1,4,0,3,2017-08-09
Robert Martinez,robert.martinez@gmail.com,2014-11-30,1,Baxter,Employee,0,1,1,1635,3,2011-05-13
Melanie Henderson,melanie.henderson@gmail.com,2017-02-09,1,Cromax,Employee,1,1,2,0,3,2022-08-26
Chelsea Kennedy,chelsea.kennedy@gmail.com,2015-01-16,0,None,None,0,0,1,35,1,2013-08-16
Shannon Duncan,shannon.duncan@gmail.com,2021-03-16,0,None,None,1,1,1,100,2,2007-02-25
Alexander Dunn,alexander.dunn@gmail.com,2008-05-05,1,Amazon,Employee,1,1,1,1044,2,2013-06-21
Sharon May,sharon.may@gmail.com,2024-01-04,0,None,None,0,0,1,100,3,2022-10-13
Shannon Hart,shannon.hart@gmail.com,2009-02-15,1,Amazon, CTO,0,1,2,0,3,2015-12-11
Nicholas Rocha,nicholas.rocha@gmail.com,2011-01-26,1,Baxter, CTO,0,1,4,0,3,2014-07-09
Margaret Torres,margaret.torres@gmail.com,2018-01-26,1,Nike,CEO,1,1,4,0,3,2009-05-12
Victoria Arellano,victoria.arellano@gmail.com,2016-04-26,1,CBN,CEO,0,1,3,0,3,2011-04-24
James Liu,james.liu@gmail.com,2011-04-28,1,YCI,Employee,1,1,1,1637,2,2008-05-29
Benjamin Lee,benjamin.lee@gmail.com,2021-03-23,0,None,None,1,1,1,100,1,2023-08-23
Kenneth Montoya,kenneth.montoya@gmail.com,2013-08-07,1,Hyatt,CEO,0,1,1,983,3,2008-03-20
Angel Reynolds,angel.reynolds@gmail.com,2007-11-12,0,None,None,1,1,1,50,2,2009-07-30
Anne Evans,anne.evans@gmail.com,2018-09-03,1,Baxter,CEO,0,1,3,0,2,2022-08-13
Robert Cooper,robert.cooper@gmail.com,2023-09-28,0,None,None,0,0,1,10,2,2018-12-06
Dawn Bryant,dawn.bryant@gmail.com,2007-03-18,1,Amazon,Employee,1,1,2,0,2,2014-10-07
Erin Scott,erin.scott@gmail.com,2015-03-20,0,None,None,0,0,1,100,1,2011-10-20
Frank Hamilton,frank.hamilton@gmail.com,2014-05-02,1,Hyatt, CTO,0,1,3,0,1,2015-10-14
Joshua Mcgrath,joshua.mcgrath@gmail.com,2010-01-27,0,None,None,0,0,1,5,3,2016-10-07
Jenna Smith,jenna.smith@gmail.com,2018-08-13,0,None,None,1,1,1,70,2,2019-03-11
Christine Nelson,christine.nelson@gmail.com,2019-05-07,1,CaSa,Employee,0,1,4,0,2,2009-06-22
Kenneth Miller,kenneth.miller@gmail.com,2020-03-15,1,YCI, CTO,1,1,2,0,2,2016-06-28
Brittany Fitzpatrick,brittany.fitzpatrick@gmail.com,2017-06-25,0,None,None,0,0,1,1,1,2023-10-08
Kathryn Johnson,kathryn.johnson@gmail.com,2015-11-21,1,CaSa, CTO,0,1,4,0,1,2015-08-09
Walter Chan,walter.chan@gmail.com,2007-04-01,1,Baxter,CEO,0,1,3,0,1,2017-02-17
Mr. Jeffrey Martinez,mr. jeffrey martinez.@gmail.com,2013-04-28,0,None,None,1,1,1,35,3,2014-03-05
Jesus Jones,jesus.jones@gmail.com,2012-05-27,1,Hyatt,CEO,1,1,4,0,3,2018-01-28
Kathryn Snyder,kathryn.snyder@gmail.com,2011-07-08,0,None,None,1,1,1,5,3,2021-02-28
Cory Webb,cory.webb@gmail.com,2013-05-12,1,Indigo,CEO,1,1,1,1847,3,2014-02-24
Ryan Green,ryan.green@gmail.com,2023-08-18,1,Amazon,Employee,0,1,2,0,3,2011-10-27
David Brown,david.brown@gmail.com,2023-12-04,0,None,None,0,0,1,35,3,2015-01-14
Eric Thompson DDS,eric thompson dds.@gmail.com,2008-05-21,1,Nike, CTO,0,1,3,0,3,2022-12-03
Paul Johnson,paul.johnson@gmail.com,2014-01-31,1,Baxter,CEO,1,1,1,1886,2,2007-08-03
Tanner Evans,tanner.evans@gmail.com,2023-09-01,0,None,None,0,0,1,100,3,2015-08-11
Mary Long,mary.long@gmail.com,2015-06-19,1,Jonhsons, CTO,1,1,3,0,3,2022-09-24
Brandon Ross,brandon.ross@gmail.com,2012-04-05,1,Jonhsons,Employee,1,1,3,0,3,2010-11-02
Ashley Hunter,ashley.hunter@gmail.com,2021-02-27,0,None,None,1,1,1,70,2,2020-11-16
Madison Ray,madison.ray@gmail.com,2010-01-14,0,None,None,1,1,1,1,1,2017-04-23
Michael Ruiz,michael.ruiz@gmail.com,2008-02-11,0,None,None,0,0,1,70,1,2016-11-18
Keith Sullivan,keith.sullivan@gmail.com,2018-09-12,1,Nike, CTO,1,1,1,612,1,2017-06-29
Sheri Moore,sheri.moore@gmail.com,2019-05-18,1,Nike, CTO,0,1,4,0,1,2008-01-09
Mrs. Jasmine Dyer,mrs. jasmine dyer.@gmail.com,2013-08-10,1,Baxter,CEO,1,1,2,0,1,2008-08-14
Brenda Davidson,brenda.davidson@gmail.com,2011-03-16,0,None,None,0,0,1,70,3,2023-05-22
Joseph Peterson,joseph.peterson@gmail.com,2014-10-12,0,None,None,0,0,1,10,1,2020-11-12
Isaac Terry,isaac.terry@gmail.com,2019-10-29,0,None,None,0,0,1,10,2,2016-10-18
Kyle Cook,kyle.cook@gmail.com,2024-02-07,0,None,None,0,0,1,90,3,2022-12-25
Douglas Holt,douglas.holt@gmail.com,2020-07-07,0,None,None,0,0,1,20,1,2015-08-01
Joel Abbott,joel.abbott@gmail.com,2018-06-20,1,Cromax, CTO,0,1,3,0,1,2019-07-17
Allison Stewart,allison.stewart@gmail.com,2023-02-05,1,YCI, CTO,1,1,4,0,1,2007-01-04
Marc Campos,marc.campos@gmail.com,2011-05-20,1,YCI,Employee,1,1,4,0,1,2021-07-26
Brian Chan,brian.chan@gmail.com,2014-02-20,0,None,None,0,0,1,70,3,2012-07-18
Amber White,amber.white@gmail.com,2023-06-03,0,None,None,1,1,1,35,1,2008-04-11
Stephanie Allen DDS,stephanie allen dds.@gmail.com,2016-09-26,0,None,None,1,1,1,10,2,2023-05-05
Kevin Delgado,kevin.delgado@gmail.com,2009-08-02,1,Cosco,Employee,1,1,3,0,2,2019-07-12
Jennifer Zimmerman,jennifer.zimmerman@gmail.com,2020-04-24,0,None,None,1,1,1,50,1,2020-05-28
Billy Martinez,billy.martinez@gmail.com,2008-03-17,1,Pepsi,CEO,1,1,2,0,1,2023-09-09
Alan Smith,alan.smith@gmail.com,2015-08-16,0,None,None,0,0,1,90,3,2008-11-08
Carrie Villarreal,carrie.villarreal@gmail.com,2018-02-06,0,None,None,0,0,1,50,1,2022-03-26
Matthew Crawford MD,matthew crawford md.@gmail.com,2009-05-04,0,None,None,1,1,1,15,2,2023-09-12
Barbara Thomas,barbara.thomas@gmail.com,2013-09-21,1,Amazon, CTO,1,1,2,0,2,2011-03-16
Miss Paula Bryant,miss paula bryant.@gmail.com,2013-02-23,1,Baxter, CTO,0,1,3,0,2,2009-09-05
Tyler Le,tyler.le@gmail.com,2019-04-21,0,None,None,1,1,1,1,1,2021-10-24
Mary Dixon,mary.dixon@gmail.com,2007-03-24,0,None,None,0,0,1,70,3,2023-09-14
James Hartman,james.hartman@gmail.com,2013-12-23,0,None,None,0,0,1,1,2,2020-03-16
Carl Jones,carl.jones@gmail.com,2011-10-13,0,None,None,0,0,1,20,1,2017-06-26
Timothy Roberts,timothy.roberts@gmail.com,2023-06-18,1,Cromax,Employee,1,1,3,0,1,2018-10-22
John Moses,john.moses@gmail.com,2010-07-01,1,Vodafone, CTO,1,1,2,0,1,2021-04-06
Patrick Reid,patrick.reid@gmail.com,2017-02-18,1,Westin,CEO,1,1,3,0,1,2012-10-06
Kevin Combs,kevin.combs@gmail.com,2010-06-30,1,Pepsi,Employee,1,1,1,974,3,2007-04-08
Kelli Bryan,kelli.bryan@gmail.com,2018-11-23,1,Cosco,CEO,0,1,4,0,3,2013-09-16
Corey Gray,corey.gray@gmail.com,2018-05-10,1,CBN, CTO,1,1,4,0,3,2013-05-19
Stacey Flores,stacey.flores@gmail.com,2021-11-14,1,Pepsi,CEO,1,1,3,0,3,2023-02-23
Clifford Cox,clifford.cox@gmail.com,2010-11-08,1,Pepsi, CTO,0,1,2,0,3,2022-09-17
Jack Gregory,jack.gregory@gmail.com,2008-11-02,1,The Oberoi, CTO,0,1,3,0,3,2009-09-12
Antonio Scott,antonio.scott@gmail.com,2022-07-07,0,None,None,1,1,1,90,1,2019-12-13
Brenda Park,brenda.park@gmail.com,2015-06-23,1,Nasscom,Employee,0,1,4,0,1,2022-02-17
Michael Smith,michael.smith@gmail.com,2023-07-26,0,None,None,1,1,1,15,3,2020-01-13
Jeremy Warner,jeremy.warner@gmail.com,2024-02-07,1,Hyatt,Employee,1,1,2,0,3,2008-07-28
Larry Long,larry.long@gmail.com,2023-02-04,0,None,None,0,0,1,50,2,2019-12-02
