name,email,date,is_partner,company,role_company,donation_frecuency,suscription_status,donation_type,amount,method_pay,donation_date,donation_month
Samantha Townsend,samantha.townsend@gmail.com,2021-11-10,1,Amazon,CEO,1,1,1,1674.0,3,2023-03-06,3
Jean Moore,jean.moore@gmail.com,2013-06-02,1,Jonhsons,CEO,0,1,4,0.0,0,2014-08-22,8
Eduardo Harris,eduardo.harris@gmail.com,2016-02-11,1,Cromax,CEO,0,1,2,0.0,0,2016-03-10,3
Alfred Nixon,alfred.nixon@gmail.com,2013-06-02,1,Jonhsons, CTO,1,1,2,0.0,0,2020-04-22,4
Chelsea Williams,chelsea.williams@gmail.com,2010-01-06,1,CaSa, CTO,1,1,1,1385.0,1,2013-09-02,9
Sharon Frank,sharon.frank@gmail.com,2020-04-04,1,Vodafone,CEO,0,1,4,0.0,0,2023-12-15,12
Rebecca Snyder,rebecca.snyder@gmail.com,2015-11-18,1,CBN, CTO,0,1,1,1376.0,1,2022-02-13,2
Brett Munoz,brett.munoz@gmail.com,2023-10-29,1,Westin,Employee,0,1,4,0.0,0,2024-03-02,3
Carly Chen,carly.chen@gmail.com,2018-10-16,1,Pepsi,CEO,0,1,3,0.0,0,2023-03-06,3
Victoria Ellis,victoria.ellis@gmail.com,2012-11-26,1,Indigo, CTO,0,1,1,1340.0,2,2021-11-14,11
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-01-27,1
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-02-27,2
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-03-27,3
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-04-27,4
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-05-27,5
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-06-27,6
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-07-27,7
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-08-27,8
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-09-27,9
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-10-27,10
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-11-27,11
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2010-12-27,12
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-01-27,1
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-02-27,2
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-03-27,3
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-04-27,4
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-05-27,5
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-06-27,6
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-07-27,7
James Potts,james.potts@gmail.com,2010-01-27,0,Particular,Particular,1,1,1,6325.1,1,2011-08-27,8
Michael Esparza,michael.esparza@gmail.com,2012-08-13,0,Particular,Particular,1,1,1,3162.55,2,2012-08-13,8
Michael Esparza,michael.esparza@gmail.com,2012-08-13,0,Particular,Particular,1,1,1,3162.55,2,2012-09-13,9
Michael Esparza,michael.esparza@gmail.com,2012-08-13,0,Particular,Particular,1,1,1,3162.55,2,2012-10-13,10
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-03-28,3
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-04-28,4
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-05-28,5
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-06-28,6
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-07-28,7
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-08-28,8
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-09-28,9
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-10-28,10
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-11-28,11
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2014-12-28,12
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-01-28,1
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-02-28,2
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-03-28,3
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-04-28,4
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-05-28,5
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-06-28,6
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-07-28,7
Christopher Jennings,christopher.jennings@gmail.com,2014-03-28,0,Particular,Particular,1,1,1,8132.27,1,2015-08-28,8
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2011-09-03,9
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2011-10-03,10
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2011-11-03,11
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2011-12-03,12
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2012-01-03,1
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2012-02-03,2
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2012-03-03,3
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2012-04-03,4
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2012-05-03,5
James Wilson,james.wilson@gmail.com,2011-09-03,0,Particular,Particular,1,1,1,4517.93,1,2012-06-03,6
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-04-22,4
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-05-22,5
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-06-22,6
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-07-22,7
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-08-22,8
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-09-22,9
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-10-22,10
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-11-22,11
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2019-12-22,12
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-01-22,1
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-02-22,2
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-03-22,3
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-04-22,4
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-05-22,5
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-06-22,6
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-07-22,7
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-08-22,8
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-09-22,9
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-10-22,10
Cheryl Shields,cheryl.shields@gmail.com,2019-04-22,0,Particular,Particular,1,1,1,3162.55,2,2020-11-22,11
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-01-22,1
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-02-22,2
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-03-22,3
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-04-22,4
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-05-22,5
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-06-22,6
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-07-22,7
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-08-22,8
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-09-22,9
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-10-22,10
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-11-22,11
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2008-12-22,12
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-01-22,1
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-02-22,2
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-03-22,3
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-04-22,4
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-05-22,5
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-06-22,6
Jessica Kelly,jessica.kelly@gmail.com,2008-01-22,0,Particular,Particular,1,1,1,9035.86,1,2009-07-22,7
Dawn Lane,dawn.lane@gmail.com,2010-01-16,0,Particular,Particular,1,1,1,8132.27,3,2010-01-16,1
Dawn Lane,dawn.lane@gmail.com,2010-01-16,0,Particular,Particular,1,1,1,8132.27,3,2010-02-16,2
Dawn Lane,dawn.lane@gmail.com,2010-01-16,0,Particular,Particular,1,1,1,8132.27,3,2010-03-16,3
Dawn Lane,dawn.lane@gmail.com,2010-01-16,0,Particular,Particular,1,1,1,8132.27,3,2010-04-16,4
Dawn Lane,dawn.lane@gmail.com,2010-01-16,0,Particular,Particular,1,1,1,8132.27,3,2010-05-16,5
Dawn Lane,dawn.lane@gmail.com,2010-01-16,0,Particular,Particular,1,1,1,8132.27,3,2010-06-16,6
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-02-26,2
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-03-26,3
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-04-26,4
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-05-26,5
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-06-26,6
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-07-26,7
Douglas Smith,douglas.smith@gmail.com,2016-02-26,0,Particular,Particular,1,1,1,4517.93,3,2016-08-26,8
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2013-12-25,12
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2014-01-25,1
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2014-02-25,2
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2014-03-25,3
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2014-04-25,4
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2014-05-25,5
Barbara Nelson,barbara.nelson@gmail.com,2013-12-25,0,Particular,Particular,1,1,1,903.59,2,2014-06-25,6
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2015-11-22,11
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2015-12-22,12
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-01-22,1
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-02-22,2
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-03-22,3
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-04-22,4
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-05-22,5
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-06-22,6
Douglas Gallagher,douglas.gallagher@gmail.com,2015-11-22,0,Particular,Particular,1,1,1,6325.1,2,2016-07-22,7
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2018-10-25,10
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2018-11-25,11
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2018-12-25,12
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-01-25,1
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-02-25,2
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-03-25,3
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-04-25,4
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-05-25,5
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-06-25,6
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-07-25,7
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-08-25,8
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-09-25,9
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-10-25,10
Catherine Dudley,catherine.dudley@gmail.com,2018-10-25,0,Particular,Particular,1,1,1,90.36,2,2019-11-25,11
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2012-09-08,9
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2012-10-08,10
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2012-11-08,11
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2012-12-08,12
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2013-01-08,1
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2013-02-08,2
Nancy Jackson,nancy.jackson@gmail.com,2012-09-08,0,Particular,Particular,1,1,1,1807.17,3,2013-03-08,3
Craig Turner,craig.turner@gmail.com,2023-12-29,0,Particular,Particular,1,1,1,6325.1,1,2023-12-29,12
Craig Turner,craig.turner@gmail.com,2023-12-29,0,Particular,Particular,1,1,1,6325.1,1,2024-01-29,1
Craig Turner,craig.turner@gmail.com,2023-12-29,0,Particular,Particular,1,1,1,6325.1,1,2024-02-29,2
Craig Turner,craig.turner@gmail.com,2023-12-29,0,Particular,Particular,1,1,1,6325.1,1,2024-03-29,3
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-06-30,6
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-07-30,7
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-08-30,8
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-09-30,9
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-10-30,10
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-11-30,11
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2007-12-30,12
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-01-30,1
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-02-29,2
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-03-30,3
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-04-30,4
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-05-30,5
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-06-30,6
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-07-30,7
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-08-30,8
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-09-30,9
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-10-30,10
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-11-30,11
Amy Moon,amy.moon@gmail.com,2007-06-30,0,Particular,Particular,1,1,1,451.79,1,2008-12-30,12
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-04-17,4
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-05-17,5
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-06-17,6
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-07-17,7
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-08-17,8
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-09-17,9
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-10-17,10
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-11-17,11
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2021-12-17,12
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-01-17,1
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-02-17,2
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-03-17,3
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-04-17,4
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-05-17,5
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-06-17,6
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-07-17,7
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-08-17,8
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-09-17,9
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-10-17,10
Eric Ortega,eric.ortega@gmail.com,2021-04-17,0,Particular,Particular,1,1,1,6325.1,1,2022-11-17,11
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-03-14,3
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-04-14,4
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-05-14,5
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-06-14,6
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-07-14,7
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-08-14,8
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-09-14,9
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-10-14,10
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-11-14,11
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2023-12-14,12
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2024-01-14,1
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2024-02-14,2
Diana King,diana.king@gmail.com,2023-03-14,0,Particular,Particular,1,1,1,90.36,2,2024-03-14,3
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2006-12-23,12
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-01-23,1
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-02-23,2
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-03-23,3
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-04-23,4
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-05-23,5
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-06-23,6
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-07-23,7
Peter Peterson,peter.peterson@gmail.com,2006-12-23,0,Particular,Particular,1,1,1,1807.17,2,2007-08-23,8
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-06-26,6
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-07-26,7
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-08-26,8
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-09-26,9
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-10-26,10
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-11-26,11
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2017-12-26,12
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-01-26,1
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-02-26,2
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-03-26,3
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-04-26,4
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-05-26,5
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-06-26,6
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-07-26,7
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-08-26,8
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-09-26,9
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-10-26,10
Melissa Rogers,melissa.rogers@gmail.com,2017-06-26,0,Particular,Particular,1,1,1,4517.93,2,2018-11-26,11
